0,2,1,2,1,2,3,1
1,4,3,2,1,3,1,1
2,3,2,3,2,3,3,1
3,1,4,1,2,1,1,1
4,1,3,1,1,3,3,1
5,3,2,1,2,1,3,1
6,4,2,1,2,1,1,2
7,3,3,4,1,2,3,1
8,2,1,4,2,1,2,1
9,1,2,2,3,3,1,1
10,1,4,2,2,1,1,1
11,1,3,2,3,2,1,2
12,4,1,1,1,3,1,1
13,1,2,4,1,2,2,1
14,1,4,4,3,1,3,1
15,2,3,2,3,3,1,2
16,2,2,2,3,1,1,1
17,2,1,1,3,3,3,1
18,2,4,2,3,3,1,2
19,3,2,2,1,1,1,1
20,3,2,4,1,1,3,1
21,4,2,3,2,1,1,2
22,2,4,4,1,3,3,1
23,4,1,2,3,2,1,2
24,4,4,1,3,2,2,4
25,1,3,2,2,3,1,2
26,1,2,1,2,1,3,1
27,3,3,2,3,1,1,2
28,2,2,2,1,2,2,1
29,4,2,3,2,2,2,3
30,3,1,4,1,2,2,1
31,3,2,3,3,3,1,2
32,1,2,4,1,1,3,1
33,3,3,2,3,2,3,1
34,4,1,1,1,1,3,1
35,1,4,4,1,1,2,1
36,3,3,3,3,2,3,1
37,2,4,3,2,3,1,2
38,2,4,2,3,2,2,2
39,3,2,4,2,2,2,2
40,3,4,3,2,2,3,1
41,2,3,2,2,1,3,1
42,3,3,1,3,3,2,3
43,2,1,1,1,1,2,1
44,3,4,3,2,1,2,4
45,2,3,2,2,2,3,1
46,4,3,2,1,3,3,1
47,4,2,2,2,3,3,1
48,2,3,4,2,3,3,1
49,2,4,4,3,1,2,2
50,1,3,4,2,1,2,2
51,3,2,2,3,2,3,1
52,2,2,1,1,3,1,1
53,1,1,1,2,1,1,1
54,3,2,2,1,1,3,1
55,4,3,4,2,3,1,4
56,4,4,4,2,2,1,4
57,4,4,3,3,2,1,4
58,1,2,4,1,2,1,1
59,2,3,3,1,1,1,1
60,2,3,1,2,2,2,2
61,4,3,1,3,2,2,4
62,4,3,1,3,1,1,1
63,4,4,4,3,2,2,3
64,3,1,1,2,1,3,1
65,4,2,1,3,3,2,3
66,1,1,2,3,2,1,1
67,2,2,1,3,2,1,1
68,1,4,4,3,2,3,1
69,1,1,1,3,3,2,1
70,4,4,4,3,2,1,4
71,2,1,4,3,1,2,1
72,3,3,1,1,3,2,1
73,3,4,2,2,3,1,4
74,4,2,2,2,3,2,3
75,2,3,3,3,1,3,1
76,1,1,3,1,2,2,1
77,3,3,2,1,1,1,1
78,4,1,1,1,2,3,1
79,2,2,3,2,3,2,2
80,4,2,2,1,1,3,1
81,2,4,1,2,1,3,1
82,1,4,4,2,3,2,2
83,3,3,4,3,3,1,2
84,4,3,4,2,2,3,1
85,3,2,2,2,1,3,1
86,4,4,1,2,3,1,4
87,3,2,1,2,1,1,1
88,4,2,4,1,1,1,1
89,4,1,4,1,1,2,1
90,4,2,3,1,1,3,1
91,2,2,1,3,1,3,1
92,2,1,4,3,2,1,1
93,3,1,1,3,1,2,1
94,1,1,3,3,3,2,1
95,1,2,2,3,1,2,1
96,4,2,2,1,2,2,1
97,2,3,3,1,3,3,1
98,2,3,4,3,1,1,1
99,4,1,3,1,3,1,1
100,2,4,2,1,2,2,1
101,3,4,3,1,3,2,1
102,3,4,2,3,1,2,4
103,1,2,3,3,2,2,1
104,1,2,3,1,1,2,1
105,3,2,1,1,3,2,1
106,2,2,3,3,2,1,2
107,1,2,1,2,3,3,1
108,1,4,2,2,1,2,2
109,4,1,3,1,3,3,1
110,2,4,2,2,1,3,1
111,1,4,4,1,2,2,1
112,2,1,4,1,3,1,1
113,4,3,2,1,2,2,1
114,4,2,3,1,3,1,1
115,3,4,2,3,2,1,4
116,2,2,4,3,2,1,2
117,3,2,3,2,3,1,2
118,3,2,1,2,3,1,2
119,3,2,4,1,2,2,1
120,1,4,2,1,3,2,1
121,1,2,4,2,1,2,1
122,2,4,2,3,2,3,1
123,4,4,3,1,2,1,1
124,3,3,2,2,3,1,2
125,1,2,2,2,1,1,1
126,2,1,2,1,1,2,1
127,2,1,3,2,3,2,1
128,4,2,2,2,2,2,2
129,1,1,4,2,2,3,1
130,3,2,3,1,1,2,1
131,1,3,3,2,2,2,2
132,1,4,3,1,2,2,1
133,1,2,4,3,2,1,1
134,3,4,2,2,3,3,1
135,3,3,4,1,3,3,1
136,2,1,4,2,1,1,1
137,1,1,2,2,2,3,1
138,3,3,3,2,2,1,2
139,3,1,3,1,1,2,1
140,2,3,2,3,3,2,2
141,4,2,3,1,3,3,1
142,1,2,2,2,3,3,1
143,1,1,2,1,1,2,1
144,2,1,1,1,2,3,1
145,3,4,4,2,2,2,3
146,1,1,4,3,3,1,1
147,4,4,3,1,1,2,1
148,3,4,3,2,3,2,3
149,3,3,3,2,1,1,2
150,4,4,2,3,2,1,4
151,4,4,4,3,3,3,1
152,2,2,4,1,3,2,1
153,3,2,3,3,1,3,1
154,4,2,4,1,3,2,1
155,4,3,3,2,1,3,1
156,1,2,2,3,2,3,1
157,2,1,3,3,2,3,1
158,2,3,4,1,3,3,1
159,2,1,2,3,1,2,1
160,1,2,4,2,2,2,1
161,4,2,2,1,2,1,1
162,4,2,1,3,2,3,1
163,2,3,2,2,3,1,2
164,4,2,2,2,3,1,2
165,2,1,3,3,1,2,1
166,1,2,2,1,1,1,1
167,3,1,3,3,3,3,1
168,2,4,2,2,2,3,1
169,4,3,2,3,1,1,2
170,1,4,4,1,2,1,1
171,2,2,4,2,1,2,2
172,4,2,4,2,3,3,1
173,3,4,3,2,1,3,1
174,1,3,3,2,3,1,2
175,2,2,4,3,2,3,1
176,3,3,2,2,1,1,2
177,3,1,1,1,3,1,1
178,1,3,4,2,3,1,2
179,1,2,4,2,3,3,1
180,2,3,1,3,3,2,2
181,1,4,4,3,1,2,2
182,2,3,1,2,2,3,1
183,3,2,3,3,2,2,2
184,4,4,1,3,1,1,1
185,4,3,2,3,2,3,1
186,1,4,3,3,1,3,1
187,4,3,4,2,3,2,3
188,2,2,2,2,3,1,2
189,4,2,2,1,1,1,1
190,2,3,3,2,2,2,2
191,3,4,3,3,3,3,1
192,4,2,1,1,3,3,1
193,1,3,2,2,2,2,2
194,4,2,2,1,1,2,1
195,3,1,1,3,1,1,1
196,2,4,3,3,2,2,2
197,2,4,3,1,2,1,1
198,2,4,4,2,1,3,1
199,1,4,1,1,1,1,1
200,4,2,2,3,2,1,2
201,1,4,1,1,1,3,1
202,2,1,3,3,3,1,1
203,4,3,1,3,2,1,2
204,3,1,3,1,2,3,1
205,3,4,1,1,2,3,1
206,1,4,1,2,2,3,1
207,1,2,3,1,1,1,1
208,3,2,1,1,1,1,1
209,1,4,3,3,2,3,1
210,4,3,1,3,1,3,1
211,4,2,2,3,3,2,3
212,3,2,1,2,1,2,2
213,4,4,4,1,2,1,1
214,1,3,1,2,3,1,2
215,3,2,1,1,1,2,1
216,3,1,4,2,1,1,1
217,1,2,2,3,2,2,1
218,4,2,1,1,2,1,1
219,2,2,2,1,3,1,1
220,4,3,4,3,3,3,1
221,1,2,3,3,1,2,1
222,2,3,1,3,3,3,1
223,1,3,3,1,3,1,1
224,1,4,1,2,1,2,2
225,1,1,2,3,2,3,1
226,1,4,4,2,1,3,1
227,1,2,4,1,2,3,1
228,4,2,3,3,1,1,2
229,4,2,1,1,1,3,1
230,1,2,1,3,2,1,1
231,2,3,1,2,1,3,1
232,4,2,2,3,3,1,2
233,3,1,3,2,1,3,1
234,3,2,1,2,2,3,1
235,3,3,3,2,1,3,1
236,3,1,3,1,2,1,1
237,2,2,3,1,3,3,1
238,2,4,2,1,1,2,1
239,4,1,4,1,3,1,1
240,2,1,2,1,2,1,1
241,3,1,3,3,1,2,2
242,4,2,3,3,1,3,1
243,4,2,1,2,3,2,3
244,1,4,4,3,2,2,2
245,4,4,3,2,2,3,1
246,3,1,3,1,3,3,1
247,4,2,4,1,1,3,1
248,2,3,4,2,1,1,1
249,4,4,3,2,2,1,4
250,4,2,2,3,1,1,2
251,3,1,3,3,1,1,1
252,2,2,3,2,1,2,2
253,2,1,2,1,1,3,1
254,4,1,3,3,2,2,2
255,4,4,3,3,3,2,3
256,3,3,2,3,2,1,2
257,3,2,4,3,1,1,1
258,2,3,1,2,3,3,1
259,1,3,2,2,1,3,1
260,1,3,2,3,3,2,2
261,1,3,1,1,2,2,1
262,1,3,2,1,3,3,1
