0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,2,2
2,1,1,1,1,1,1,2,3,3
3,1,1,1,1,1,1,2,1,1
4,1,1,1,1,1,1,2,2,2
5,1,1,1,1,1,1,3,3,1
6,1,1,1,1,1,1,3,1,1
7,1,1,1,1,1,1,3,2,2
8,1,1,1,1,1,2,1,3,4
9,1,1,1,1,1,2,1,1,1
10,1,1,1,1,1,2,1,2,2
11,1,1,1,1,1,2,2,3,4
12,1,1,1,1,1,2,2,1,1
13,1,1,1,1,1,2,2,2,2
14,1,1,1,1,1,2,3,3,1
15,1,1,1,1,1,2,3,1,1
16,1,1,1,1,1,2,3,2,2
17,1,1,1,1,2,1,1,3,4
18,1,1,1,1,2,1,1,1,1
19,1,1,1,1,2,1,1,2,2
20,1,1,1,1,2,1,2,3,4
21,1,1,1,1,2,1,2,1,1
22,1,1,1,1,2,1,2,2,2
23,1,1,1,1,2,1,3,3,1
24,1,1,1,1,2,1,3,1,1
25,1,1,1,1,2,1,3,2,2
26,1,1,1,1,2,2,1,3,4
27,1,1,1,1,2,2,1,1,1
28,1,1,1,1,2,2,1,2,2
29,1,1,1,1,2,2,2,3,4
30,1,1,1,1,2,2,2,1,1
31,1,1,1,1,2,2,2,2,2
32,1,1,1,1,2,2,3,3,1
33,1,1,1,1,2,2,3,1,1
34,1,1,1,1,2,2,3,2,2
35,1,1,1,1,3,1,1,3,4
36,1,1,1,1,3,1,1,1,1
37,1,1,1,1,3,1,1,2,2
38,1,1,1,1,3,1,2,3,4
39,1,1,1,1,3,1,2,1,1
40,1,1,1,1,3,1,2,2,2
41,1,1,1,1,3,1,3,3,1
42,1,1,1,1,3,1,3,1,1
43,1,1,1,1,3,1,3,2,2
44,1,1,1,1,3,2,1,3,4
45,1,1,1,1,3,2,1,1,1
46,1,1,1,1,3,2,1,2,2
47,1,1,1,1,3,2,2,3,4
48,1,1,1,1,3,2,2,1,1
49,1,1,1,1,3,2,2,2,2
50,1,1,1,1,3,2,3,3,1
51,1,1,1,1,3,2,3,1,1
52,1,1,1,1,3,2,3,2,2
53,1,1,1,2,1,1,1,3,4
54,1,1,1,2,1,1,1,1,1
55,1,1,1,2,1,1,1,2,2
56,1,1,1,2,1,1,2,3,4
57,1,1,1,2,1,1,2,1,1
58,1,1,1,2,1,1,2,2,2
59,1,1,1,2,1,1,3,3,1
60,1,1,1,2,1,1,3,1,1
61,1,1,1,2,1,1,3,2,2
62,1,1,1,2,1,2,1,3,4
63,1,1,1,2,1,2,1,1,1
64,1,1,1,2,1,2,1,2,2
65,1,1,1,2,1,2,2,3,4
66,1,1,1,2,1,2,2,1,1
67,1,1,1,2,1,2,2,2,2
68,1,1,1,2,1,2,3,3,1
69,1,1,1,2,1,2,3,1,1
70,1,1,1,2,1,2,3,2,2
71,1,1,1,2,2,1,1,3,4
72,1,1,1,2,2,1,1,1,1
73,1,1,1,2,2,1,1,2,2
74,1,1,1,2,2,1,2,3,4
75,1,1,1,2,2,1,2,1,1
76,1,1,1,2,2,1,2,2,2
77,1,1,1,2,2,1,3,3,1
78,1,1,1,2,2,1,3,1,1
